Category,Hull_Material,Propulsion_Type,Length,Length_Type,Fuel_Type,Class,Price_range,Year_range,Location_type
Saltwater Fishing,Fiberglass,Other,23,Small,Gas,Power,25K - 50K,2000-2009,Town
Cruisers,Fiberglass,Other,31,Medium,Gas,Power,50K - 100K,2000-2009,City
Bowrider,Fiberglass,Other,22,Small,Gas,Power,25K & lower,2000-2009,Town
Sports Fishing Boats,Fiberglass,Twin Inboard,62,Medium,Diesel,Power,260K & Higher,1990-1999,City
Cruisers,Fiberglass,Single Inboard,38,Medium,Diesel,Sails,100K - 260K,1990-1999,Town
Cruisers,Fiberglass,Other,27,Small,Gas,Power,25K - 50K,2000-2009,City
Center Consoles,Fiberglass,Other,25,Small,Gas,Power,50K - 100K,2000-2009,Town
Center Consoles,Fiberglass,Other,32,Medium,Gas,Power,50K - 100K,2000-2009,Town
Center Consoles,Fiberglass,Other,24,Small,Gas,Power,25K - 50K,2000-2009,Town
Cruisers,Fiberglass,Other,65,Medium,Diesel,Power,260K & Higher,2000-2009,Town
Motor Yachts,Other,Twin Inboard,90,Medium,Diesel,Power,260K & Higher,2010 & above,City
Motor Yachts,Aluminum,Twin Inboard,116,Large,Diesel,Power,260K & Higher,2010 & above,City
Motor Yachts,Steel,Twin Inboard,107,Large,Diesel,Power,260K & Higher,2010 & above,City
Motor Yachts,Aluminum,Twin Inboard,99,Medium,Diesel,Power,260K & Higher,2010 & above,City
Motor Yachts,Fiberglass,Twin Inboard,59,Medium,Diesel,Power,260K & Higher,1990-1999,Town
Motor Yachts,Steel,Twin Inboard,102,Large,Diesel,Power,260K & Higher,2010 & above,Town
Motor Yachts,Aluminum,Twin Inboard,131,Large,Diesel,Power,260K & Higher,2010 & above,City
Motor Yachts,Fiberglass,Twin Inboard,69,Medium,Diesel,Power,260K & Higher,2010 & above,City
Bowrider,Fiberglass,Other,24,Small,Gas,Power,25K & lower,1990-1999,Town
Motor Yachts,Fiberglass,Twin Inboard,59,Medium,Diesel,Power,260K & Higher,2000-2009,City
Motor Yachts,Steel,Twin Inboard,86,Medium,Diesel,Power,260K & Higher,2010 & above,City
Cruisers,Fiberglass,Other,33,Medium,Gas,Power,50K - 100K,2010 & above,Town
Motor Yachts,Steel,Other,115,Large,Diesel,Power,260K & Higher,2010 & above,City
Center Consoles,Fiberglass,Other,29,Small,Gas,Power,50K - 100K,2000-2009,Town
Center Consoles,Other,Other,22,Small,Gas,Power,50K - 100K,1970-1979,Town
Center Consoles,Fiberglass,Other,21,Small,Gas,Power,25K & lower,1980-1989,Town
Center Consoles,Fiberglass,Other,23,Small,Gas,Power,50K - 100K,2010 & above,City
Center Consoles,Fiberglass,Other,37,Medium,Diesel,Power,100K - 260K,2000-2009,City
Motor Yachts,Fiberglass,Twin Inboard,70,Medium,Diesel,Power,260K & Higher,2000-2009,Town
Cruisers,Fiberglass,Single Inboard,26,Small,Diesel,Power,50K - 100K,2000-2009,Town
Center Consoles,Fiberglass,Twin Outboard,33,Medium,Gas,Power,260K & Higher,2010 & above,Town
Center Consoles,Fiberglass,Other,26,Small,Gas,Power,25K - 50K,2000-2009,Town
Center Consoles,Fiberglass,Other,29,Small,Gas,Power,50K - 100K,2000-2009,City
Motor Yachts,Fiberglass,Twin Inboard,36,Medium,Gas,Power,50K - 100K,2000-2009,City
Cruisers,Fiberglass,Single Inboard,25,Small,Gas,Power,25K - 50K,2000-2009,Town
Saltwater Fishing,Roplene,Single Outboard,20,Small,Gas,Power,25K & lower,2000-2009,Town
Center Consoles,Fiberglass,Single Outboard,21,Small,Gas,Power,25K - 50K,2010 & above,Town
Center Consoles,Fiberglass,Twin Outboard,27,Small,Gas,Power,100K - 260K,2000-2009,Town
Saltwater Fishing,Fiberglass,Other,31,Medium,Gas,Power,100K - 260K,2010 & above,Town
Center Consoles,Fiberglass,Other,23,Small,Gas,Power,25K - 50K,2000-2009,City
Cruisers,Fiberglass,Single Inboard,54,Medium,Diesel,Sails,260K & Higher,2010 & above,Town
Center Consoles,Fiberglass,Other,29,Small,Gas,Power,100K - 260K,2010 & above,Town
Center Consoles,Fiberglass,Other,18,Small,Gas,Power,25K & lower,2000-2009,Town
Saltwater Fishing,Fiberglass,Other,27,Small,Gas,Power,25K - 50K,2000-2009,Town
Cruisers,Fiberglass,Other,32,Medium,Gas,Power,50K - 100K,2000-2009,Town
Center Consoles,Fiberglass,Single Outboard,22,Small,Gas,Power,25K - 50K,2010 & above,Town
Saltwater Fishing,Fiberglass,Other,33,Medium,Gas,Power,100K - 260K,2000-2009,City
Center Consoles,Fiberglass,Other,23,Small,Gas,Power,25K & lower,2000-2009,Town
Bowrider,Fiberglass,Other,19,Small,Gas,Power,25K - 50K,2010 & above,Town
Motor Yachts,Fiberglass,Twin Inboard,55,Medium,Diesel,Power,100K - 260K,1980-1989,City
Bowrider,Fiberglass,Other,26,Small,Gas,Power,25K - 50K,2000-2009,City
Bowrider,Fiberglass,Other,19,Small,Gas,Power,25K - 50K,2010 & above,Town
Bowrider,Fiberglass,Other,24,Small,Gas,Power,25K - 50K,2010 & above,Town
Bowrider,Fiberglass,Other,25,Small,Gas,Power,50K - 100K,2010 & above,Town
Motor Yachts,Fiberglass,Twin Inboard,42,Medium,Gas,Power,100K - 260K,2000-2009,City
Bowrider,Fiberglass,Other,26,Small,Gas,Power,25K - 50K,2000-2009,City
Saltwater Fishing,Fiberglass,Other,16,Small,Gas,Power,25K & lower,2000-2009,Town
Motor Yachts,Fiberglass,Twin Inboard,45,Medium,Diesel,Power,50K - 100K,1970-1979,Town
Bowrider,Composite,Other,27,Small,Gas,Power,100K - 260K,2010 & above,City
Sports Fishing Boats,Other,Other,26,Small,Diesel,Power,50K - 100K,1990-1999,City
Bowrider,Composite,Other,21,Small,Gas,Power,25K - 50K,2010 & above,City
Motor Yachts,Fiberglass,Twin Inboard,28,Small,Gas,Power,25K & lower,1970-1979,Town
Center Consoles,Composite,Other,16,Small,Gas,Power,25K & lower,2010 & above,City
Center Consoles,Composite,Other,16,Small,Gas,Power,25K - 50K,2010 & above,City
Center Consoles,Composite,Other,21,Small,Gas,Power,50K - 100K,2010 & above,City
Center Consoles,Composite,Other,20,Small,Gas,Power,25K - 50K,2010 & above,City
Bowrider,Fiberglass,Other,20,Small,Gas,Power,25K & lower,2000-2009,Town
Bowrider,Composite,Other,21,Small,Gas,Power,25K - 50K,2010 & above,City
Bowrider,Composite,Other,19,Small,Gas,Power,25K - 50K,2010 & above,City
Bowrider,Composite,Other,21,Small,Gas,Power,25K - 50K,2010 & above,City
Bowrider,Aluminum,Other,21,Small,Gas,Power,25K - 50K,2010 & above,City
Bowrider,Fiberglass,Other,26,Small,Gas,Power,25K - 50K,2000-2009,Town
Center Consoles,Composite,Other,194,Large,Gas,Power,25K - 50K,2010 & above,Town
Sports Fishing Boats,Composite,Other,36,Medium,Diesel,Power,25K - 50K,1970-1979,Town
Bowrider,Fiberglass,Other,20,Small,Gas,Power,25K - 50K,2010 & above,Town
Center Consoles,Composite,Other,20,Small,Gas,Power,25K & lower,1990-1999,Town
Sports Fishing Boats,Fiberglass,Other,46,Medium,Diesel,Power,50K - 100K,1970-1979,Town
Center Consoles,Composite,Other,14,Small,Gas,Power,25K & lower,2010 & above,Town
Sports Fishing Boats,Composite,Other,36,Medium,Diesel,Power,25K - 50K,1980-1989,Town
Center Consoles,Fiberglass,Other,25,Small,Gas,Power,25K - 50K,2000-2009,Town
Center Consoles,Composite,Other,26,Small,Gas,Power,50K - 100K,2010 & above,Town
Center Consoles,Fiberglass,Single Outboard,25,Small,Gas,Power,25K - 50K,1980-1989,Town
Bowrider,Fiberglass,Other,28,Small,Gas,Power,50K - 100K,2000-2009,Town
Saltwater Fishing,Fiberglass,Other,28,Small,Gas,Power,100K - 260K,2010 & above,Town
Motor Yachts,Fiberglass,Twin Inboard,80,Medium,Diesel,Power,260K & Higher,2000-2009,Town
Sports Fishing Boats,Fiberglass,Other,35,Medium,Gas,Power,50K - 100K,1990-1999,City
Sports Fishing Boats,Other,Other,32,Medium,Diesel,Power,50K - 100K,2000-2009,Town
Sports Fishing Boats,Fiberglass,Other,58,Medium,Diesel,Power,100K - 260K,1990-1999,Town
Center Consoles,Fiberglass,Other,25,Small,Gas,Power,50K - 100K,2010 & above,City
Cruisers,Fiberglass,Other,33,Medium,Gas,Power,100K - 260K,2010 & above,City
Saltwater Fishing,Fiberglass,Other,21,Small,Gas,Power,25K - 50K,2000-2009,Town
Cruisers,Fiberglass,Other,37,Medium,Gas,Power,260K & Higher,2010 & above,City
Center Consoles,Fiberglass,Single Outboard,21,Small,Gas,Power,25K - 50K,2010 & above,Town
Cruisers,Fiberglass,Single Inboard,32,Medium,Diesel,Sails,25K - 50K,2000-2009,Town
Center Consoles,Fiberglass,Single Outboard,21,Small,Gas,Power,25K - 50K,2010 & above,Town
Bowrider,Fiberglass,Other,18,Small,Gas,Power,25K & lower,1990-1999,City
Cruisers,Fiberglass,Other,27,Small,Gas,Power,50K - 100K,2010 & above,Town
Cruisers,Fiberglass,Twin Inboard,60,Medium,Diesel,Power,260K & Higher,2010 & above,City
Saltwater Fishing,Fiberglass,Other,33,Medium,Gas,Power,100K - 260K,2000-2009,Town
Center Consoles,Composite,Single Outboard,20,Small,Gas,Power,25K - 50K,2010 & above,Town
Motor Yachts,Fiberglass,Twin Inboard,58,Medium,Diesel,Power,260K & Higher,2000-2009,Town
Cruisers,Fiberglass,Other,43,Medium,Diesel,Sails,100K - 260K,1980-1989,Town
Sports Fishing Boats,Fiberglass,Other,42,Medium,Diesel,Power,260K & Higher,2000-2009,Town
Motor Yachts,Fiberglass,Twin Inboard,40,Medium,Diesel,Power,260K & Higher,2010 & above,Town
Motor Yachts,Fiberglass,Twin Inboard,48,Medium,Diesel,Power,260K & Higher,2010 & above,Town
Saltwater Fishing,Fiberglass,Twin Outboard,33,Medium,Gas,Power,50K - 100K,2000-2009,Town
Motor Yachts,Aluminum,Twin Inboard,153,Large,Diesel,Power,260K & Higher,1990-1999,Town
Center Consoles,Composite,Single Outboard,22,Small,Gas,Power,50K - 100K,2010 & above,Town
Motor Yachts,Fiberglass,Twin Inboard,101,Large,Diesel,Power,260K & Higher,2010 & above,City
Motor Yachts,Fiberglass,Twin Inboard,65,Medium,Diesel,Power,260K & Higher,2000-2009,Town
Center Consoles,Fiberglass,Other,22,Small,Gas,Power,50K - 100K,2010 & above,Town
Center Consoles,Fiberglass,Single Outboard,19,Small,Gas,Power,25K - 50K,2010 & above,Town
Saltwater Fishing,Fiberglass,Twin Inboard,31,Medium,Diesel,Power,25K - 50K,1980-1989,Town
Bowrider,Fiberglass,Other,24,Small,Gas,Power,50K - 100K,2010 & above,City
Center Consoles,Fiberglass,Single Outboard,22,Small,Gas,Power,50K - 100K,2010 & above,Town
Center Consoles,Composite,Single Outboard,19,Small,Gas,Power,25K - 50K,2010 & above,Town
Center Consoles,Composite,Single Outboard,20,Small,Gas,Power,25K - 50K,2010 & above,Town
Center Consoles,Fiberglass,Single Outboard,24,Small,Gas,Power,25K & lower,1990-1999,Town
Center Consoles,Fiberglass,Other,23,Small,Gas,Power,50K - 100K,2010 & above,Town
Center Consoles,Composite,Other,30,Small,Gas,Power,100K - 260K,2000-2009,Town
Center Consoles,Fiberglass,Other,27,Small,Gas,Power,50K - 100K,2000-2009,Town
Center Consoles,Composite,Other,25,Small,Gas,Power,25K - 50K,2000-2009,Town
Center Consoles,Composite,Other,20,Small,Gas,Power,25K & lower,2000-2009,Town
Center Consoles,Composite,Other,17,Small,Gas,Power,25K & lower,2010 & above,Town
Center Consoles,Composite,Other,18,Small,Gas,Power,25K - 50K,2010 & above,Town
Center Consoles,Composite,Other,23,Small,Gas,Power,25K - 50K,2000-2009,Town
Center Consoles,Composite,Other,16,Small,Gas,Power,25K - 50K,2010 & above,Town
Motor Yachts,Fiberglass,Twin Inboard,56,Medium,Diesel,Power,260K & Higher,2000-2009,Town
Center Consoles,Composite,Other,26,Small,Gas,Power,50K - 100K,2010 & above,Town
Motor Yachts,Fiberglass,Twin Inboard,62,Medium,Diesel,Power,260K & Higher,2000-2009,Town
Sports Fishing Boats,Fiberglass,Twin Inboard,30,Small,Gas,Power,25K & lower,1990-1999,Town
Center Consoles,Fiberglass,Single Outboard,30,Small,Gas,Power,100K - 260K,2010 & above,Town
Sports Fishing Boats,Fiberglass,Twin Inboard,32,Medium,Diesel,Power,50K - 100K,2000-2009,Town
Saltwater Fishing,Fiberglass,Other,23,Small,Gas,Power,25K & lower,2000-2009,Town
